COUNTRY NAME,NO. OF INDUSTRY,TOTAL CAPITAL (In Million Rupees),FIXED CAPITAL (In Million Rupees),WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
ARGENTINA,1.00,10.01,9.00,1.01,10.01,14.00
AUSTRALIA,4.00,75.00,67.20,7.80,43.50,120.00
AZERBAIJAN,1.00,15.00,7.00,8.00,15.00,25.00
BAHRAIN,1.00,31.31,21.89,9.43,15.66,24.00
BANGLADESH,6.00,92.70,75.20,17.50,132.53,448.00
BELARUS,1.00,5.00,4.10,0.90,5.00,15.00
BELGIUM,1.00,25.00,24.00,1.00,25.00,30.00
BRITISH VIRGIN ISLANDS,2.00,245.00,154.50,90.50,245.00,111.00
CHINA (MAINLAND),119.00,23272.00,21712.55,1559.45,7314.44,4618.00
CHINA (HONG KONG),3.00,1772.20,547.00,1225.20,1072.20,140.00
CHINA (TAIWAN),1.00,5.00,3.50,1.50,5.00,21.00
COOK ISLANDS,1.00,833.32,828.00,5.32,666.66,35.00
CYPRUS,1.00,5.50,4.50,1.00,5.50,10.00
CZECH REPUBLIC,1.00,11.00,9.70,1.30,5.39,25.00
DENMARK,1.00,10.00,8.50,1.50,5.00,19.00
FINLAND,4.00,45.00,37.50,7.50,31.00,89.00
FRANCE,7.00,65.60,49.70,15.90,50.40,186.00
GERMANY,4.00,164.20,146.80,17.40,162.70,173.00
INDIA,22.00,8378.69,7785.84,592.85,6540.83,2108.00
IRAN,1.00,5.00,3.90,1.10,5.00,30.00
IRELAND,1.00,15.00,12.00,3.00,15.00,35.00
ISRAEL,1.00,49.00,44.00,5.00,24.50,65.00
ITALY,3.00,40.50,30.10,10.40,32.95,99.00
JAPAN,15.00,2036.00,1979.58,56.43,322.40,365.00
KAZAKHSTAN,1.00,5.00,3.00,2.00,5.00,20.00
LITHUANIA,1.00,5.00,4.00,1.00,5.00,38.00
MALAYSIA,8.00,125.00,100.80,24.20,124.50,269.00
MAURITIUS,1.00,10.00,1.90,8.10,5.00,8.00
MEXICO,1.00,5.00,4.20,0.80,5.00,24.00
NETHERLANDS,1.00,5.26,4.80,0.46,5.00,15.00
NEW ZEALAND,2.00,17.00,14.20,2.80,15.00,31.00
NORWAY,1.00,5.00,4.00,1.00,5.00,27.00
PAKISTAN,3.00,40.00,34.80,5.20,34.00,78.00
PHILIPPINES,2.00,25.00,21.50,3.50,25.00,58.00
QATAR,1.00,10.00,8.50,1.50,9.70,25.00
RUSSIA,3.00,55.00,49.50,5.50,45.00,91.00
SINGAPORE,3.00,225.00,160.00,65.00,217.50,201.00
SLOVAKIA,1.00,5.00,4.00,1.00,5.00,21.00
SOUTH AFRICA,2.00,20.00,16.90,3.10,20.00,58.00
SOUTH KOREA,22.00,2050.00,255.67,1794.33,2030.00,581.00
SPAIN,1.00,10.00,7.50,2.50,10.00,29.00
SWITZERLAND,2.00,30.00,26.60,3.40,30.00,54.00
SYRIA,2.00,18.00,14.00,4.00,16.00,40.00
TAJIKISTAN,1.00,20.00,9.80,10.20,20.00,25.00
TURKEY,2.00,30.00,25.80,4.20,30.00,64.00
UK,12.00,183.60,157.50,26.10,148.60,281.00
UKRAINE,1.00,5.00,4.00,1.00,5.00,25.00
UNITED ARAB EMIRATES,1.00,7.00,5.80,1.20,5.25,14.00
USA,28.00,594.37,522.10,72.27,536.21,850.00
TOTAL,305.00,40712.27,35026.93,5685.35,20107.42,11732.00