FISCAL YEAR,NATIONAL TRADEMARK (In Number),FOREIGN TRADEMARK (In Number),TOTAL TRADEMARK (In Number),NATIONAL PATENT (In Number),FOREIGN PATENT (In Number),TOTAL PATENT (In Number),NATIONAL DESIGN (In Number),FOREIGN DESIGN (In Number),TOTAL DESIGN (In Number)
Up to 2048/49,4982.00,3675.00,8657.00,14.00,19.00,33.00,6.00,29.00,35.00
2049/50,512.00,170.00,682.00,0.00,4.00,4.00,0.00,0.00,0.00
2050/51,369.00,244.00,613.00,0.00,0.00,0.00,0.00,1.00,1.00
2051/52,393.00,471.00,864.00,1.00,0.00,1.00,0.00,1.00,1.00
2052/53,403.00,617.00,1020.00,1.00,1.00,2.00,0.00,1.00,1.00
2053/54,423.00,411.00,834.00,0.00,2.00,2.00,0.00,2.00,2.00
2054/55,442.00,377.00,819.00,0.00,2.00,2.00,0.00,2.00,2.00
2055/56,429.00,454.00,883.00,0.00,0.00,0.00,1.00,1.00,2.00
2056/57,574.00,588.00,1162.00,0.00,0.00,0.00,3.00,0.00,3.00
2057/58,678.00,485.00,1163.00,0.00,0.00,0.00,0.00,1.00,1.00
2058/59,660.00,518.00,1178.00,1.00,2.00,3.00,4.00,1.00,5.00
2059/60,804.00,557.00,1361.00,5.00,2.00,7.00,0.00,5.00,5.00
2060/61,1255.00,396.00,1651.00,2.00,2.00,4.00,0.00,5.00,5.00
2061/62,949.00,567.00,1516.00,0.00,0.00,0.00,1.00,1.00,2.00
2062/63,609.00,565.00,1174.00,0.00,1.00,1.00,0.00,0.00,0.00
2063/64,585.00,419.00,1004.00,3.00,0.00,3.00,0.00,0.00,0.00
2064/65,612.00,529.00,1141.00,1.00,0.00,1.00,2.00,2.00,4.00
2065/66,954.00,774.00,1728.00,2.00,1.00,3.00,0.00,3.00,3.00
2066/67,889.00,675.00,1565.00,1.00,0.00,1.00,0.00,0.00,0.00
2067/68,850.00,657.00,1507.00,1.00,0.00,1.00,0.00,0.00,0.00
2068/69,456.00,1230.00,1686.00,1.00,0.00,1.00,4.00,3.00,7.00
2069/70,1473.00,1089.00,2562.00,1.00,0.00,1.00,13.00,1.00,14.00
2070/71,1084.00,920.00,2004.00,0.00,0.00,0.00,1.00,0.00,1.00
2071/72,1080.00,992.00,2072.00,1.00,0.00,1.00,6.00,5.00,11.00
2072/73,1032.00,1366.00,2398.00,0.00,0.00,0.00,8.00,3.00,11.00
Total,21465.00,17380.00,38846.00,35.00,36.00,71.00,41.00,64.00,105.00