District,No.Of Projects,Proposed Total Project Cost (In Million Rupees),Proposed Total Fixed Cost (In Million Rupees),Proposed Total Working Capital (In Million Rupees),Proposed Total Amount Of Foreign Investment (In Million Rupees)
Baitadi,1.00,6.00,4.20,1.80,4.20
Bara,11.00,886.82,704.47,182.36,789.27
Bhaktapur,9.00,2207.00,2035.17,171.83,1145.43
Chitwan,9.00,232.40,178.70,53.70,215.54
Darchula,1.00,12.80,9.80,3.00,8.96
Dhading,3.00,280.00,185.65,94.35,280.00
Jhapa,3.00,250.48,151.08,99.40,154.00
Kailali,3.00,1334.00,567.10,766.90,669.01
Kapilbastu,1.00,247.50,160.00,87.50,5.50
Kaski,24.00,905.50,795.12,110.38,729.22
Kathmandu,185.00,10349.51,8339.68,2009.83,9539.28
Kavre,6.00,315.00,253.40,61.60,295.00
Lalitpur,56.00,5438.92,4688.84,750.08,4828.29
Lamjung,2.00,210.00,170.00,40.00,205.00
Makwanpur,2.00,125.00,101.00,24.00,111.25
Morang,2.00,250.00,153.00,97.00,250.00
Myagdi,1.00,5.00,3.20,1.80,5.00
Nuwakot,3.00,55.00,38.90,16.10,55.00
Parasi,1.00,130.00,104.75,25.25,130.00
Parsa,6.00,1470.00,1238.00,232.00,1470.00
Rupandehl,3.00,328.00,237.41,90.59,308.00
Sankhuwasabha,1.00,10.00,7.00,3.00,10.00
Sindhupalchowk,2.00,1079.80,549.80,530.00,1047.08
Siraha,1.00,2578.83,1978.83,600.00,2001.17
Sunsari,5.00,45.20,30.70,14.50,33.70
Surkhet,1.00,5.00,3.50,1.50,5.00
Tanahu,1.00,250.00,130.00,120.00,250.00
Total,343.00,29462.11,23133.74,6328.36,24999.25