Fiscal Year,"Pvt., Ltd. Registration Fee (In Rupees)",Partnership Firm Registration Fee (In Rupees),Proprietorship Firm Registration Fee (In Rupees),"Trademark, Patent and Design Registration Fee (In Rupees.)",Partnership Firm Renewal Fee (In Rupees),Proprietorship Firm Renewal Fee (In Rupees),"Trademark, Patent and Design Renewal Fee (In Rupees)",Late Fine for TM Renewal (In Rupees),Deposits for Fieted (In Rupees),Others (In Rupees),Total (In Rupees)
2051/52,,23500.00,197985.00,757125.00,1305.00,10985.00,313088.00,1703.00,777353.00,177768.00,2260812.00
2052/53,,26000.00,116810.00,862987.00,2035.00,9805.00,151814.00,4178.00,57000.00,210719.00,1441348.00
2053/54,,24600.00,347840.00,1946071.00,1650.00,14120.00,570093.00,8865.00,209000.00,1078732.00,4200971.00
2054/55,,6500.00,17030.00,2093358.00,150.00,7260.00,740411.00,4480.00,4526737.00,1057362.00,8453288.00
2055/56,,6600.00,160.00,2621943.00,150.00,4470.00,339050.00,27755.00,,1147982.00,4148110.00
2056/57,,13000.00,23710.00,3041039.00,620.00,16430.00,552072.00,16675.00,2850053.00,78255.00,6591854.00
2057/58,,65.00,7800.00,2856925.00,2000.00,3490.00,607877.00,16275.00,138100.00,1718005.00,5350537.00
2058/59,,0.00,70200.00,2772594.00,1210.00,3260.00,2863359.00,10090.00,,1976958.00,7697671.00
2059/60,,6500.00,54600.00,3121092.00,365.00,6070.00,2009975.00,10940.00,229000.00,2031975.00,7470517.00
2060/61,,6500.00,23400.00,2888247.00,900.00,5890.00,1260237.00,5955.00,17000.00,1933578.00,6141707.00
2061/62,,,22200.00,3290274.00,1050.00,17725.00,1523269.00,13119.00,52000.00,2168934.00,7088571.00
2062/63,,,,4947210.00,150.00,10055.00,1731737.00,86900.00,,3195086.00,9971138.00
2063/64,,,,11000000.00,,,,392000.00,12652000.00,48000.00,24092000.00
2064/65,,,,12008470.00,,,,,2202031.10,,14210501.10
2065/66,,,,15112700.00,,,,,2399815.73,96338.00,17608853.73
206&167,,,,15936250.00,,,,,191060.00,33897.00,16161207.00
2067/68,,,,16327950.00,,,,,1931060.00,33897.00,18292907.00
2068/69,,,,18716855.00,,,,,,1230805.00,19947660.00
2069/70,,,,,,,,,,,24058600.00
2070/71,,,,,,,,,,,21354654.00
2071/72,,,,,,,,,,,22597179.95
2072/73,,,,,,,,,,,41100913.43
2073/74,,,,,,,,,,,26287875.00
2074/75,,,,,,,,,,,26838600.00
2075/76,,,,,,,,,,,50055626.80